Transfer Number,Transfer Amount,Payment Date,Invoice Number,Invoice Amount,Check Amount,Invoice Date,Invoice Due,Terms Days,Days Past Due,WDPD,Invoice to Payment,WI2DEL,Age
TR01273833,5793.86,2023-07-13,2023059809,12283.63,5793.86,2023-05-15,2023-05-15,,60,347631.6,60,347631.6,60
TR01273234,81282.8,2023-07-07,2023052937,22053.8,20258.46,2023-05-08,2023-05-08,,63,1276282.98,63,1276282.98,63
TR01273234,81282.8,2023-07-07,2023053934,17854.2,16400.74,2023-05-09,2023-05-09,,62,1016845.88,62,1016845.88,62
TR01273234,81282.8,2023-07-07,2023054979,17259.66,15854.6,2023-05-10,2023-05-10,,61,967130.6,61,967130.6,61
TR01273234,81282.8,2023-07-07,2023054980,31318.56,28769,2023-05-10,2023-05-10,,61,1754909,61,1754909,61
TR01272693,96918.04,2023-07-03,2023050014,35236.03,35236.03,2023-05-05,2023-05-05,,60,2114161.8,60,2114161.8,60
TR01272693,96918.04,2023-07-03,2023050015,15648.59,15648.59,2023-05-05,2023-05-05,,60,938915.4,60,938915.4,60
TR01272693,96918.04,2023-07-03,2023050016,46033.42,46033.42,2023-05-05,2023-05-05,,60,2762005.2,60,2762005.2,60
TR01272516,11734.47,2023-06-30,2023048226,14584.26,11734.47,2023-05-03,2023-05-03,,61,715802.67,61,715802.67,61
TR01270682,46357.68,2023-06-29,2023043836,16122.42,12705.65,2023-05-01,2023-05-01,,60,762339,60,762339,60
TR01270682,46357.68,2023-06-29,2023043837,42701.65,33652.03,2023-05-01,2023-05-01,,60,2019121.8,60,2019121.8,60
TR01270099,212120.72,2023-06-23,2023041054,36222.79,36169.93,2023-04-25,2023-04-25,,62,2242535.66,62,2242535.66,62
TR01270099,212120.72,2023-06-23,2023041055,15502.35,15479.73,2023-04-25,2023-04-25,,62,959743.26,62,959743.26,62
TR01270099,212120.72,2023-06-23,2023041056,42540.24,42478.16,2023-04-25,2023-04-25,,62,2633645.92,62,2633645.92,62
